Directory Name:
data/Young healthy volunteer_0[00-38].obj

Number of beutels: 38

Version: v-050323-1

Details: Indexed curvature calculated using regional volumes

Beutel, Total Volume, Total Surface Area, Total Curvature, Volume Inflow Tract, Volume Outflow Tract, Volume Septal Body, Volume Free-wall Body, Volume Septal Apex, Volume Free-wal Apex, Surface Area Inflow Tract, Surface Area Outflow Tract, Surface Area Septal Body, Surface Area Free-wall Body, Surface Area Septal Apex, Surface Area Free-wal Apex,Curvature Inflow Tract, Curvature Outflow Tract, Curvature Septal Body, Curvature Free-wall Body, Curvature Septal Apex, Curvature Free-wal Apex,
21, 134.105377 , 16674.472656, 0.031546,  24.438695, 29.489853, 21.808654, 59.346715, 8.583046, 10.410085, 3038.672488, 3666.726262, 2711.656925, 7379.085818, 1067.203650, 1294.375170, 0.550727, 0.426928,-0.002741, 0.870331, 1.165821, 0.803641,
22, 136.603378 , 16863.503906, 0.031295,  24.715325, 29.958783, 22.356738, 60.469529, 8.843875, 10.613928, 3051.073803, 3698.371621, 2759.909309, 7464.882360, 1091.764564, 1310.275240, 0.549747, 0.426864, 0.002967, 0.870451, 1.148494, 0.800524,
23, 135.568161 , 16820.355469, 0.031244,  24.665316, 29.750712, 22.324298, 59.727699, 8.859883, 10.502667, 3060.300726, 3691.261379, 2769.843554, 7410.597292, 1099.272641, 1303.097858, 0.550351, 0.423315, 0.001896, 0.867257, 1.140044, 0.801231,
24, 132.982361 , 16644.884766, 0.031322,  24.447923, 29.266979, 21.919134, 58.294324, 8.707673, 10.275617, 3060.051171, 3663.233546, 2743.532557, 7296.473179, 1089.905445, 1286.158961, 0.550103, 0.419628,-0.002088, 0.864023, 1.141033, 0.801787,
25, 130.988251 , 16496.990234, 0.031371,  24.283257, 28.902347, 21.620732, 57.151882, 8.594631, 10.119505, 3058.294474, 3640.034274, 2722.969343, 7197.851700, 1082.429381, 1274.475914, 0.553045, 0.415430,-0.003316, 0.859965, 1.139419, 0.800733,
26, 129.450577 , 16395.080078, 0.031460,  24.130384, 28.603477, 21.386069, 56.330054, 8.486083, 9.987314, 3056.144080, 3622.667068, 2708.573040, 7134.273667, 1074.773266, 1264.906077, 0.553014, 0.414409,-0.006419, 0.858760, 1.142400, 0.801535,
27, 128.834366 , 16357.153320, 0.031514,  24.054163, 28.484005, 21.262359, 56.049876, 8.421485, 9.939774, 3053.980485, 3616.404973, 2699.525654, 7116.241163, 1069.214106, 1261.980059, 0.553641, 0.413783,-0.008683, 0.859014, 1.146135, 0.801678,
28, 128.454575 , 16336.156250, 0.031580,  23.999433, 28.404441, 21.183002, 55.899937, 8.372245, 9.904534, 3052.117774, 3612.322801, 2693.939433, 7109.051028, 1064.736737, 1259.604949, 0.553783, 0.414301,-0.010724, 0.860026, 1.150614, 0.802590,
29, 128.198090 , 16319.641602, 0.031646,  23.943243, 28.355751, 21.103986, 55.826516, 8.345327, 9.873016, 3047.979546, 3609.692755, 2686.541652, 7106.726529, 1062.361727, 1256.836901, 0.553631, 0.415827,-0.011799, 0.861239, 1.153426, 0.803290,
30, 127.929520 , 16307.842773, 0.031696,  23.887306, 28.303144, 21.034365, 55.728400, 8.328922, 9.838803, 3045.039242, 3607.949103, 2681.360019, 7103.989288, 1061.731090, 1254.203404, 0.554308, 0.416507,-0.013465, 0.862497, 1.154003, 0.803549,
31, 127.594795 , 16288.480469, 0.031692,  23.836327, 28.240525, 20.973917, 55.554597, 8.326192, 9.796791, 3042.894690, 3605.125294, 2677.485573, 7091.981446, 1062.903976, 1250.637514, 0.551067, 0.416842,-0.014468, 0.863019, 1.153355, 0.803566,
32, 127.217941 , 16268.905273, 0.031714,  23.786146, 28.166539, 20.923556, 55.339998, 8.331719, 9.745608, 3041.823843, 3601.997978, 2675.749617, 7076.998620, 1065.478190, 1246.289410, 0.550485, 0.417453,-0.015563, 0.863335, 1.151272, 0.803932,
33, 127.888588 , 16320.349609, 0.031699,  23.847589, 28.282960, 21.049700, 55.684597, 8.396378, 9.790550, 3043.281750, 3609.296306, 2686.232438, 7106.123650, 1071.493766, 1249.409423, 0.549812, 0.419650,-0.014955, 0.864551, 1.149426, 0.804549,
34, 131.552063 , 16603.015625, 0.031610,  24.250694, 28.925672, 21.735232, 57.601015, 8.637816, 10.072894, 3060.648547, 3650.671348, 2743.175353, 7269.749118, 1090.167557, 1271.286801, 0.548345, 0.426629,-0.013219, 0.870849, 1.151009, 0.807109,
35, 139.082245 , 17207.982422, 0.031442,  25.030509, 30.235492, 23.131701, 61.612906, 9.114474, 10.653978, 3096.905299, 3740.893052, 2861.974867, 7623.070539, 1127.690311, 1318.165794, 0.547048, 0.438308,-0.012598, 0.885088, 1.156738, 0.812253,
36, 147.714355 , 17863.943359, 0.031462,  25.864221, 31.737098, 24.686023, 66.289557, 9.671552, 11.303418, 3127.908374, 3838.149073, 2985.422197, 8016.775752, 1169.636150, 1366.987057, 0.558223, 0.455727,-0.011030, 0.901218, 1.163275, 0.818188,
37, 152.458603 , 18224.386719, 0.031401,  26.285100, 32.572235, 25.453073, 68.973410, 9.960027, 11.650860, 3142.031964, 3893.574910, 3042.574331, 8244.848376, 1190.587922, 1392.704481, 0.556423, 0.463959,-0.011583, 0.911452, 1.168323, 0.821140,
38, 150.922302 , 18149.470703, 0.031480,  26.093151, 32.292255, 25.177810, 68.200032, 9.832917, 11.518789, 3137.885100, 3883.371036, 3027.808957, 8201.534094, 1182.477562, 1385.215483, 0.557720, 0.461768,-0.016442, 0.912299, 1.169608, 0.821133,
