Directory Name:
data/Young healthy volunteer_0[00-38].obj

Number of beutels: 38

Version: v-080323

Details: Indexed curvature calculated using total volumes

Beutel, Total Volume, Total Surface Area, Total Curvature, Total Indexed Curvature, Volume Inflow Tract, Volume Outflow Tract, Volume Septal Body, Volume Free-wall Body, Volume Septal Apex, Volume Free-wal Apex, Surface Area Inflow Tract, Surface Area Outflow Tract, Surface Area Septal Body, Surface Area Free-wall Body, Surface Area Septal Apex, Surface Area Free-wal Apex,Curvature Inflow Tract, Curvature Outflow Tract, Curvature Septal Body, Curvature Free-wall Body, Curvature Septal Apex, Curvature Free-wal Apex, Minimum Curvature, Maximum Curvature
18, 105.626785 , 14535.339844, 0.031722, 0.930227,  19.160805, 21.713691, 14.497316, 38.466381, 5.128682, 6.123923, 2636.725303, 2988.028957, 1994.980920, 5293.372767, 705.759761, 842.715241, 0.938890, 0.581225,-0.026627, 1.088582, 2.751292, 1.823685, -2.46104, 6.70492
19, 115.959351 , 15440.286133, 0.032067, 0.970061,  19.998889, 23.215416, 16.210899, 43.733534, 5.530414, 6.695091, 2662.903548, 3091.192361, 2158.522930, 5823.232583, 736.388846, 891.468574, 0.964042, 0.641601,-0.029839, 1.123171, 2.863586, 1.862033, -2.26489, 6.92430
20, 126.932106 , 16165.427734, 0.031724, 0.989050,  20.900986, 25.042502, 17.585620, 49.478322, 5.966274, 7.337358, 2661.843394, 3189.285889, 2239.615273, 6301.307679, 759.834292, 934.448593, 0.966350, 0.684255,-0.019095, 1.132401, 2.906298, 1.876946, -2.13318, 6.97651
21, 134.105377 , 16674.472656, 0.031546, 1.001682,  21.486736, 26.197673, 18.553998, 53.178753, 6.286531, 7.748274, 2671.630138, 3257.381244, 2306.977688, 6612.170311, 781.658308, 963.409294, 0.971387, 0.707314,-0.005022, 1.142091, 2.914518, 1.883907, -2.07256, 6.99990
22, 136.603378 , 16863.503906, 0.031295, 0.999845,  21.723981, 26.599994, 19.035440, 54.201805, 6.476189, 7.896123, 2681.796360, 3283.733613, 2349.899616, 6691.140244, 799.476905, 974.765784, 0.971988, 0.707840, 0.005425, 1.142140, 2.860235, 1.876013, -2.07623, 6.94970
23, 135.568161 , 16820.355469, 0.031244, 0.995691,  21.688615, 26.410533, 19.008202, 53.487961, 6.491579, 7.812649, 2690.972448, 3276.835149, 2358.405448, 6636.413975, 805.429925, 969.339159, 0.971249, 0.701807, 0.003460, 1.139747, 2.830293, 1.879507, -2.10140, 6.93610
24, 132.982361 , 16644.884766, 0.031322, 0.991797,  21.508607, 25.986628, 18.654719, 52.144570, 6.383940, 7.647000, 2692.148482, 3252.644832, 2334.938422, 6526.732413, 799.052919, 957.145215, 0.967449, 0.695029,-0.003808, 1.137404, 2.830929, 1.882441, -2.12232, 6.93951
25, 130.988251 , 16496.990234, 0.031371, 0.988362,  21.372398, 25.666304, 18.396516, 51.067713, 6.302249, 7.534404, 2691.693560, 3232.478894, 2316.903446, 6431.596125, 793.721081, 948.901836, 0.969919, 0.687486,-0.006046, 1.133831, 2.825000, 1.880091, -2.14564, 6.92548
26, 129.450577 , 16395.080078, 0.031460, 0.987253,  21.242238, 25.405537, 18.195692, 50.303797, 6.224307, 7.438101, 2690.356740, 3217.643802, 2304.507771, 6371.040473, 788.316504, 942.045001, 0.968090, 0.685474,-0.011698, 1.133251, 2.833242, 1.882814, -2.15303, 6.93671
27, 128.834366 , 16357.153320, 0.031514, 0.987389,  21.178276, 25.301635, 18.088291, 50.049177, 6.176677, 7.403445, 2688.850165, 3212.362809, 2296.537512, 6354.376491, 784.207321, 939.961050, 0.968669, 0.684304,-0.015830, 1.133668, 2.845226, 1.883150, -2.15386, 6.95034
